,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S5(O3),T,RH,AH,PT08.S4(NO2)
0,0,1360.0,11.9,1046.0,1056.0,1268.0,13.6,48.9,0.7578,1692.0
1,1,1292.0,9.4,955.0,1174.0,972.0,13.3,47.7,0.7255,1559.0
2,2,1402.0,9.0,939.0,1140.0,1074.0,11.9,54.0,0.7502,1555.0
3,3,1376.0,9.2,948.0,1092.0,1203.0,11.0,60.0,0.7867,1584.0
4,4,1272.0,6.5,836.0,1205.0,1110.0,11.2,59.6,0.7888,1490.0
5,5,1197.0,4.7,750.0,1337.0,949.0,11.2,59.2,0.7848,1393.0
6,6,1185.0,3.6,690.0,1462.0,733.0,11.3,56.8,0.7603,1333.0
7,7,1136.0,3.3,672.0,1453.0,730.0,10.7,60.0,0.7702,1333.0
8,8,1094.0,2.3,609.0,1579.0,620.0,10.7,59.7,0.7648,1276.0
9,9,1010.0,1.7,561.0,1705.0,501.0,10.3,60.2,0.7517,1235.0
10,10,1011.0,1.3,527.0,1818.0,445.0,10.1,60.5,0.7465,1197.0
11,11,1066.0,1.1,512.0,1918.0,422.0,11.0,56.2,0.7366,1182.0
12,12,1052.0,1.6,553.0,1738.0,472.0,10.5,58.1,0.7353,1221.0
13,13,1144.0,3.2,667.0,1490.0,730.0,10.2,59.6,0.7417,1339.0
14,14,1333.0,8.0,900.0,1136.0,1102.0,10.8,57.4,0.7408,1517.0
15,15,1351.0,9.5,960.0,1079.0,1028.0,10.5,60.6,0.7691,1583.0
16,16,1233.0,6.3,827.0,1218.0,860.0,10.8,58.4,0.7552,1446.0
17,17,1179.0,5.0,762.0,1328.0,671.0,10.5,57.9,0.7352,1362.0
18,18,1236.0,5.2,774.0,1301.0,664.0,9.5,66.8,0.7951,1401.0
19,19,1286.0,7.3,869.0,1162.0,799.0,8.3,76.4,0.8393,1537.0
20,20,1371.0,11.5,1034.0,983.0,1037.0,8.0,81.1,0.8736,1730.0
21,21,1310.0,8.8,933.0,1082.0,946.0,8.3,79.8,0.8778,1647.0
22,22,1292.0,8.3,912.0,1103.0,957.0,9.7,71.2,0.8569,1591.0
23,23,1383.0,11.2,1020.0,1008.0,1104.0,9.8,67.6,0.8185,1719.0
24,24,1581.0,20.8,1319.0,799.0,1409.0,10.3,64.2,0.8065,2083.0
25,25,1776.0,27.4,1488.0,702.0,1704.0,9.7,69.3,0.8319,2333.0
26,26,1640.0,24.0,1404.0,743.0,1654.0,9.6,67.8,0.8133,2191.0
27,27,1313.0,12.8,1076.0,957.0,1285.0,9.1,64.0,0.7419,1707.0
28,28,965.0,4.7,749.0,1325.0,821.0,8.2,63.4,0.6905,1333.0
29,29,913.0,2.6,629.0,1565.0,552.0,8.2,60.8,0.6657,1252.0
30,30,1080.0,5.9,805.0,1254.0,816.0,8.3,58.5,0.6438,1375.0
31,31,1044.0,6.4,829.0,1247.0,832.0,7.7,59.7,0.6308,1378.0
32,32,988.0,4.1,718.0,1396.0,692.0,7.1,61.8,0.6276,1304.0
33,33,889.0,1.9,574.0,1680.0,512.0,7.0,62.3,0.6261,1187.0
34,34,831.0,1.1,506.0,1893.0,384.0,6.1,65.9,0.6248,1134.0
35,35,847.0,1.0,501.0,1895.0,394.0,6.3,65.0,0.6233,1155.0
36,36,927.0,1.8,571.0,1685.0,487.0,6.8,62.9,0.6234,1223.0
37,37,1091.0,4.4,730.0,1387.0,748.0,6.4,65.1,0.6316,1361.0
38,38,1587.0,17.9,1236.0,897.0,1400.0,7.3,63.1,0.6499,1900.0
39,39,1545.0,22.1,1353.0,767.0,1588.0,9.2,56.2,0.6561,2058.0
40,40,1350.0,14.0,1118.0,912.0,1237.0,13.2,41.7,0.632,1712.0
41,41,1263.0,11.6,1037.0,969.0,1167.0,14.3,38.4,0.6243,1598.0
42,42,1206.0,10.2,986.0,1035.0,959.0,15.0,36.5,0.6195,1537.0
43,43,1252.0,11.0,1016.0,1008.0,983.0,16.1,34.5,0.6262,1593.0
44,44,1287.0,12.8,1078.0,949.0,1061.0,16.3,35.7,0.656,1660.0
45,45,1353.0,14.2,1122.0,922.0,1139.0,15.8,37.0,0.661,1740.0
46,46,1309.0,12.7,1073.0,954.0,1112.0,15.9,37.2,0.6657,1657.0
47,47,1274.0,11.7,1041.0,1006.0,994.0,16.9,34.3,0.6549,1610.0
48,48,1510.0,19.3,1277.0,812.0,1410.0,15.1,39.6,0.6766,1910.0
49,49,1525.0,18.2,1246.0,821.0,1448.0,14.4,43.4,0.7084,1847.0
50,50,1843.0,32.6,1610.0,624.0,1887.0,12.9,50.5,0.7478,2390.0
51,51,1598.0,20.1,1299.0,752.0,1627.0,12.1,53.3,0.7536,1941.0
52,52,1484.0,14.3,1127.0,839.0,1491.0,11.0,59.1,0.774,1723.0
53,53,1677.0,21.8,1346.0,741.0,1657.0,9.7,64.6,0.7771,2062.0
54,54,1280.0,9.6,964.0,963.0,1285.0,9.5,64.1,0.7597,1544.0
55,55,1196.0,7.4,873.0,1071.0,1144.0,9.1,63.9,0.7423,1463.0
56,56,1184.0,5.4,782.0,1176.0,1043.0,8.8,63.9,0.7256,1365.0
57,57,1172.0,5.4,783.0,1179.0,996.0,7.8,67.5,0.7173,1380.0
58,58,1147.0,6.2,821.0,1132.0,992.0,7.0,71.1,0.7158,1412.0
59,59,978.0,2.6,625.0,1420.0,819.0,8.3,63.6,0.6982,1274.0
60,60,1100.0,2.9,646.0,1406.0,835.0,7.2,67.5,0.6887,1268.0
61,61,1112.0,5.1,770.0,1228.0,940.0,6.3,71.9,0.6932,1409.0
62,62,1336.0,11.8,1043.0,935.0,1192.0,6.5,71.6,0.6945,1678.0
63,63,1408.0,15.1,1153.0,830.0,1411.0,9.6,59.7,0.7124,1777.0
64,64,1447.0,12.9,1081.0,869.0,1465.0,12.4,51.2,0.7335,1667.0
65,65,1542.0,16.1,1184.0,808.0,1583.0,15.6,42.2,0.7451,1780.0
66,66,1451.0,14.0,1117.0,875.0,1387.0,18.4,33.8,0.709,1679.0
67,67,1328.0,12.3,1059.0,987.0,1101.0,19.4,31.3,0.695,1600.0
68,68,1207.0,8.6,924.0,1088.0,850.0,18.0,34.8,0.7127,1488.0
69,69,1240.0,9.2,947.0,1049.0,947.0,18.4,33.6,0.7042,1532.0
70,70,1306.0,10.2,987.0,1004.0,1078.0,17.6,35.1,0.7012,1554.0
71,71,1326.0,10.6,1000.0,976.0,1084.0,16.7,37.8,0.7117,1602.0
72,72,1473.0,15.5,1163.0,831.0,1395.0,16.1,41.0,0.7451,1779.0
73,73,1609.0,19.6,1286.0,758.0,1612.0,15.8,42.4,0.7569,1922.0
